ID_Lavagem;ID_Carro;ID_Servico;Data_Lavagem;Valor_Pago;Quantidade
1;87815a05;5;2024-02-06;650.0;1
2;8dc53228;4;2024-01-29;250.0;1
4;a688cebb;6;2024-05-02;402.5;1
5;8eee87f0;1;2023-05-06;65.0;1
7;b8431b8a;7;2023-05-24;1200.0;1
9;7dbfc3de;5;2023-10-26;500.0;1
10;2d77c756;4;2023-10-25;287.5;1
12;f7764d7b;2;2023-02-22;80.0;1
14;8317b6ed;6;2024-04-15;350.0;1
22;64d046e5;6;2023-05-02;350.0;1
24;cf7a19e3;3;2024-03-21;115.0;1
25;335d6900;7;2024-02-02;1200.0;1
27;49178800;1;2023-12-12;57.5;1
30;c420d3f0;5;2024-04-03;575.0;1
31;87624e7d;3;2023-12-21;100.0;1
36;676dde3a;6;2023-12-14;455.0;1
38;05524412;4;2023-02-09;325.0;1
39;317247b4;5;2023-08-21;500.0;1
45;77117764;7;2024-02-02;1380.0;1
46;e3b43f0c;2;2023-12-19;92.0;1
47;a87e0d35;1;2024-04-17;65.0;1
48;b4a2b98d;5;2023-03-21;650.0;1
53;76cfbe5b;2;2023-11-09;80.0;1
54;84e027af;4;2023-01-06;250.0;1
55;0efe8067;2;2024-04-06;104.0;1
69;b7eafcdf;7;2023-05-14;1380.0;1
71;dcfeb67e;3;2024-05-20;100.0;1
73;a688cebb;3;2023-01-07;115.0;1
80;310955c9;2;2024-02-26;104.0;1
81;e7f5b935;1;2023-12-07;50.0;1
82;acb9b969;1;2023-01-04;65.0;1
83;e7709032;3;2023-10-16;100.0;1
85;2c08f1d9;5;2023-06-07;500.0;1
86;f191c2aa;7;2024-05-21;1200.0;1
89;195eed82;7;2023-01-21;1200.0;1
90;9f44f60f;7;2023-12-06;1560.0;1
91;a1d2426f;4;2023-07-13;287.5;1
92;10cdc26c;6;2023-04-05;402.5;1
95;582ea6d9;6;2023-09-19;350.0;1
100;68dc4bd8;7;2023-01-26;1380.0;1
103;dfd6b60e;7;2023-09-09;1380.0;1
104;e4bc7342;1;2023-12-11;57.5;1
107;917d5024;2;2023-11-27;80.0;1
108;aca3042c;7;2024-05-24;1560.0;1
109;dbea750d;2;2023-11-19;92.0;1
111;295720dd;5;2023-12-19;575.0;1
112;cc91c2e8;2;2024-03-06;92.0;1
113;fbf98d6d;7;2024-01-01;1200.0;1
